A,B,AB,rat,rat_pred
Ag,I,AgI,1.0923076923076922,1.0728559646387539
Al,As,AlAs,0.923076923076923,0.941794125394473
Al,P,AlP,0.8769230769230768,0.90604998741876
Al,Sb,AlSb,1.0,1.0013676886873282
As,In,AsIn,1.0038461538461538,1.0043463668519708
B,As,BAs,0.7807692307692307,0.8315830333026911
B,N,BN,0.596153846153846,0.688606481399839
B,P,BP,0.7346153846153846,0.7958388953269783
B,Sb,BSb,0.8576923076923076,0.8911565965955461
Be,O,BeO,0.6230769230769231,0.7094572285523384
Be,S,BeS,0.773076923076923,0.8256256769734057
Be,Se,BeSe,0.8307692307692308,0.870305849443047
Be,Te,BeTe,0.8999999999999999,0.9239220564066165
Br,Ag,BrAg,1.0192307692307692,1.0162610795105418
Br,Cs,BrCs,1.4,1.3111502178101742
Br,Rb,BrRb,1.3076923076923077,1.2396619418587482
C,C,CC,0.5846153846153846,0.6796704469059109
C,Ge,CGe,0.7538461538461538,0.8107322861501919
C,Si,CSi,0.7192307692307692,0.7839241826684074
C,Sn,CSn,0.8269230769230769,0.8673271712784043
Ca,Se,CaSe,1.1384615384615384,1.108600102614467
Ca,Te,CaTe,1.2076923076923076,1.1622163095780367
Cd,Te,CdTe,1.0846153846153845,1.0668986083094685
Cl,Ag,ClAg,0.9500000000000001,0.9626448725469724
Cl,Cs,ClCs,1.3307692307692307,1.2575340108466047
Cl,Cu,ClCu,0.8999999999999999,0.9239220564066165
Cl,K,ClK,1.173076923076923,1.1354082060962518
Cl,Rb,ClRb,1.2384615384615385,1.1860457348951785
Cu,Br,CuBr,0.9692307692307692,0.977538263370186
Cu,I,CuI,1.0423076923076922,1.0341331484983982
F,Ag,FAg,0.7769230769230769,0.8286043551380484
F,Cs,FCs,1.1576923076923076,1.1234934934376808
F,Cu,FCu,0.7269230769230769,0.7898815389976926
F,K,FK,1.0,1.0013676886873282
F,Na,FNa,0.8576923076923076,0.8911565965955461
F,Rb,FRb,1.0653846153846154,1.0520052174862549
Ga,As,GaAs,0.926923076923077,0.9447728035591159
Ga,Sb,GaSb,1.0038461538461538,1.0043463668519708
Ge,Ge,GeGe,0.923076923076923,0.941794125394473
Ge,Sn,GeSn,0.9961538461538461,0.9983890105226852
I,Cs,ICs,1.473076923076923,1.3677451029383862
In,Sb,InSb,1.0807692307692307,1.0639199301448259
K,Br,KBr,1.2423076923076921,1.1890244130598213
K,I,KI,1.3153846153846154,1.2456192981880336
Li,Br,LiBr,0.9538461538461538,0.9656235507116151
Li,Cl,LiCl,0.8846153846153845,0.9120073437480454
Li,F,LiF,0.7115384615384616,0.7779668263391217
Li,I,LiI,1.0269230769230768,1.0222184358398272
Mg,S,MgS,0.9461538461538461,0.9596661943823295
Mg,Se,MgSe,1.0038461538461538,1.0043463668519708
Mg,Te,MgTe,1.073076923076923,1.0579625738155403
N,Al,NAl,0.7384615384615384,0.798817573491621
N,Ga,NGa,0.7423076923076922,0.8017962516562637
N,In,NIn,0.8192307692307692,0.8613698149491187
Na,Br,NaBr,1.0999999999999999,1.0788133209680395
Na,Cl,NaCl,1.0307692307692309,1.02519711400447
Na,I,NaI,1.173076923076923,1.1354082060962518
O,Ba,OBa,1.0807692307692307,1.0639199301448259
O,Ca,OCa,0.9307692307692307,0.9477514817237586
O,Cd,OCd,0.8076923076923077,0.8524337804551905
O,Mg,OMg,0.7961538461538461,0.8434977459612623
O,Sr,OSr,1.0038461538461538,1.0043463668519708
O,Zn,OZn,0.7230769230769231,0.7869028608330499
P,Ga,PGa,0.8807692307692307,0.9090286655834027
P,In,PIn,0.9576923076923077,0.9686022288762578
Rb,I,RbI,1.3807692307692307,1.2962568269869603
S,Ba,SBa,1.2307692307692308,1.180088378565893
S,Ca,SCa,1.0807692307692307,1.0639199301448259
S,Cd,SCd,0.9576923076923077,0.9686022288762578
S,Sr,SSr,1.1538461538461537,1.120514815273038
S,Zn,SZn,0.8730769230769231,0.9030713092541173
Se,Ba,SeBa,1.2884615384615385,1.2247685510355344
Se,Cd,SeCd,1.0153846153846153,1.013282401345899
Se,Sr,SeSr,1.2115384615384615,1.1651949877426793
Si,Ge,SiGe,0.8884615384615384,0.9149860219126883
Si,Si,SiSi,0.8538461538461539,0.8881779184309034
Si,Sn,SiSn,0.9615384615384615,0.9715809070409005
Sn,Sn,SnSn,1.0692307692307692,1.0549838956508975
Sr,Te,SrTe,1.2807692307692307,1.2188111947062488
Te,Ba,TeBa,1.3576923076923075,1.278384757999104
Zn,Se,ZnSe,0.9307692307692307,0.9477514817237586
Zn,Te,ZnTe,1.0,1.0013676886873282
