Element,Z,Group,Row,IP,EA,r_s,r_p
H,1,1,1,12.3298369,-0.84302021,0.5591,1.3803
He,2,18,1,26.29301903,3.01943992,0.3014,1.0270000000000001
Li,3,1,2,5.59490045,-0.51380896,1.624,1.9552
Be,4,2,2,9.45955325,0.63033942,1.0801,1.2113
B,5,13,2,8.47205646,-0.54033726,0.8004,0.816
C,6,14,2,11.63921474,-1.58578155,0.6402,0.6215
N,7,15,2,14.857791800000001,0.00193896,0.5352,0.5043
O,8,16,2,13.78468963,-1.91149106,0.4603,0.4255
F,9,17,2,17.92181204,-3.91901956,0.4049,0.3699
Ne,10,18,2,22.50312979,2.88059127,0.3616,0.3276
Na,11,1,3,5.44730889,-0.56006026,1.6917,0.2856
Mg,12,2,3,8.03213714,0.64843202,1.3303,0.2525
Al,13,13,3,5.94299861,-0.5249835999999999,1.0927,1.3908
Si,14,14,3,8.20326385,-1.45180359,0.9395,1.1322
P,15,15,3,10.46126338,-0.89928239,0.83,0.9635
S,16,16,3,10.48919598,-2.29928552,0.7441,0.8432
Cl,17,17,3,13.18215246,-3.78343666,0.6762,0.7527
Ar,18,18,3,16.09066766,3.46189121,0.6207,0.6812
K,19,1,4,4.59034342,-0.52654042,2.1222,0.6105
Ca,20,2,4,6.42808796,0.30202043,1.7596,0.5537
Sc,21,3,4,5.89682444,0.141596,1.6109,2.1367
Ti,22,4,4,6.90635208,-0.66886975,1.5495,2.0773
V,23,5,4,7.66509031,-0.98043538,1.4916,0.4485
Cr,24,6,4,7.78580257,-0.60405811,1.4208,1.9685
Mn,25,7,4,7.14012444,0.62836376,1.2887,1.7396
Fe,26,8,4,7.56593361,-0.41401612,1.2614,1.7409
Co,27,9,4,8.8707004,-1.39569114,1.2453,1.5735
Ni,28,10,4,8.54942289,-1.58970927,1.2298,1.5384
Cu,29,11,4,8.60393492,-1.52600943,1.1958,1.8468
Zn,30,12,4,10.13590535,0.86214446,1.0994,1.6111
Ga,31,13,4,5.97784413,-0.4279687,0.9990000000000001,1.3354
Ge,32,14,4,7.98019479,-1.36207534,0.9188,1.1638
As,33,15,4,9.8954258,-0.95045805,0.8537,1.0436
Se,34,16,4,9.86559943,-2.28693677,0.7958,0.951
Br,35,17,4,12.066550999999999,-3.59064445,0.7473,0.8782
Kr,36,18,4,14.39004078,3.23754131,0.7056,0.818
Rb,37,1,5,4.43434871,-0.50157699,2.2292,0.7539
Sr,38,2,5,6.03172852,0.16119559,1.9138,0.7006
Y,39,3,5,6.41164703,0.03970353,1.7458,2.3143
Zr,40,4,5,6.57333152,-0.69687005,1.6389,2.1573
Nb,41,5,5,7.722135300000001,-0.46221031,1.5933,0.5948
Mo,42,6,5,7.69422643,-0.72814952,1.5235,2.1053
Tc,43,7,5,7.22490898,-0.92200142,1.4445,1.9499
Ru,44,8,5,8.24760232,-1.21961638,1.4214,1.9752
Rh,45,9,5,8.07348288,-1.11594913,1.4103,2.0208
Pd,46,10,5,9.13750606,-0.84541454,1.4056,2.1438
Ag,47,11,5,8.23216606,-1.52065217,1.3171,1.8642
Cd,48,12,5,9.58089606,0.83805477,1.2286,1.7351
In,49,13,5,5.67595173,-0.49854645,1.138,1.5024
Sn,50,14,5,7.3949742,-1.41243704,1.0636,1.3469
Sb,51,15,5,9.00342936,-1.1048341999999998,1.0012,1.2334
Te,52,16,5,9.00657081,-2.26676812,0.9454,1.1414
I,53,17,5,10.79491214,-3.39289695,0.898,1.069
Xe,54,18,5,12.66336404,2.9615327000000002,0.8558,1.0075
